iter	RMSE
900	732106.1335
901	731958.7218
902	731933.6709
903	731816.2967
904	731744.2329
905	731737.0448
906	731668.419
907	731621.7988
908	731545.8321
909	731470.5098
910	731398.8053
911	731288.1648
912	731095.8145
913	730999.2952
914	730940.0226
915	730886.463
916	730857.8246
917	730837.994
918	730724.9339
919	730597.339
920	730444.1785
921	730373.4153
922	730152.5667
923	730106.9198
924	729921.2123
925	729758.3412
926	729580.0659
927	729514.0597
928	729450.8784
929	729393.7525
930	729346.2885
931	729325.5037
932	729270.5013
933	729193.7063
934	729113.7114
935	729031.0675
936	728829.0627
937	728744.0419
938	728558.2606
939	728522.4289
940	728418.9731
941	728321.0562
942	728267.47
943	728120.2324
944	728033.4638
945	727957.1147
946	727890.4204
947	727823.1177
948	727771.6591
949	727632.3349
950	727611.0572
951	727556.4119
952	727430.5924
953	727301.425
954	727179.967
955	727136.1689
956	727134.295
957	727123.0643
958	727076.6893
959	727025.5172
960	726944.9763
961	726893.0683
962	726663.801
963	726570.5392
964	726495.3649
965	726430.6211
966	726326.4843
967	726280.7179
968	726210.9368
969	726097.946
970	726010.6651
971	725915.5741
972	725824.572
973	725743.4224
974	725644.4188
975	725575.0526
976	725518.5164
977	725442.6197
978	725381.4046
979	725369.0402
980	725243.9223
981	725199.1724
982	725072.6327
983	725000.9405
984	724978.8466
985	724882.8395
986	724826.5137
987	724781.2018
988	724765.6016
989	724645.7017
990	724596.3079
991	724518.9894
992	724465.0027
993	724397.4453
994	724270.5108
995	724244.0992
996	724166.0742
997	724046.0045
998	723967.7165
999	723760.2769
